Desktop	1366x768 50Hz
Date	4/7/2016
BalanceBoard	FALSE
StartTime	5:22 PM
EndTime	5:26 PM
Participant Code	OVR
Session	scene_definition.xml
Gameplay	ObstacleAvoidance


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(50; 3.4988)	5.509037	0
	Action	backward	180	(50; 3.4988)	19.90294	14.39391
	Action	forward	speed_1	(50; 3.5012)	23.28898	3.38604
	Action	stop	intersection	(50; 2.480852)	24.10595	0.816967
	Action	turn	left	(50; 2.378952)	24.52288	0.4169312
	Event	gem_collected	2	(50; 2.378952)	24.52288	0
	Action	start lean	left	(50; 2.378853)	24.53978	0.01689529
	Action	stop lean	left	(50.05879; 2.296102)	24.65616	0.1163883
	Event	hit_ped	PedestrianCollider	(56.12805; 1.123406)	29.39162	4.735456
	Action	start lean	right	(57.78572; 1.123406)	30.59276	1.201138
	Action	stop lean	right	(57.99413; 1.048688)	30.74145	0.1486931
	Action	start lean	right	(58.67181; 0.9977897)	31.22587	0.484417
	Action	stop lean	right	(58.88187; 0.922471)	31.3756	0.1497345
	Action	start lean	right	(59.16175; 0.8753642)	31.57561	0.2000084
	Action	stop lean	right	(59.34933; 0.8084544)	31.70965	0.134037
	Action	start lean	right	(59.60557; 0.7639666)	31.89262	0.182972
	Action	stop lean	right	(59.72316; 0.7294182)	31.97582	0.08319855
	Action	forward	speed_2	(60.39926; 0.6890962)	32.45947	0.483654
	Action	start lean	right	(61.18557; 0.6890044)	32.87949	0.4200211
	Action	stop lean	right	(61.51937; 0.5638641)	33.0466	0.1671104
	Action	start lean	right	(61.91934; 0.4948749)	33.24652	0.1999168
	Action	stop lean	right	(62.11937; 0.4318804)	33.34657	0.1000481
	Action	start lean	right	(62.35339; 0.3831303)	33.46359	0.1170235
	Action	stop lean	right	(62.51933; 0.329656)	33.54657	0.08297348
	Action	stop	intersection	(62.51933; 0.329656)	33.54657	0
	Action	turn	straight	(62.66608; 0.2790067)	34.24661	0.7000465
	Event	gem_collected	5	(62.66608; 0.2790067)	34.24661	0
	Event	passed_obs	obs_bike	(75.53336; 0.2789972)	40.75168	6.50507
	Action	stop	intersection	(79.5012; 0.2789964)	42.75259	2.000912
	Action	turn	left	(79.64351; 0.2789964)	43.55262	0.8000259
	Event	gem_collected	5	(79.64351; 0.2789964)	43.55262	0
	Action	start lean	left	(79.64351; 0.2789964)	43.5696	0.0169754
	Action	stop lean	left	(79.77978; 0.3872256)	43.7028	0.1332054
	Action	start lean	left	(80.47929; 0.9091756)	44.1524	0.4496002
	Action	stop lean	left	(80.48209; 1.558467)	44.45307	0.3006706
	Action	start lean	left	(80.42907; 3.668768)	45.50459	1.051514
	Action	stop lean	left	(80.33844; 3.934641)	45.63766	0.1330757
	Action	start lean	left	(80.26917; 4.968699)	46.15608	0.5184212
	Action	stop lean	left	(80.14373; 5.302833)	46.32147	0.1653862
	Action	start lean	right	(80.07022; 6.136825)	46.73875	0.4172859
	Action	stop lean	right	(80.12892; 6.336718)	46.83839	0.09963608
	Action	start lean	right	(80.17838; 6.602517)	46.97252	0.1341248
	Action	stop lean	right	(80.26153; 6.836423)	47.0896	0.1170845
	Action	start lean	right	(80.31065; 7.036577)	47.18958	0.0999794
	Action	stop lean	right	(80.36773; 7.203453)	47.2725	0.08292007
	Action	start lean	right	(80.41228; 7.402492)	47.37254	0.1000366
	Action	stop lean	right	(80.48348; 7.602478)	47.4726	0.1000633
	Action	start lean	right	(80.52699; 7.770603)	47.55659	0.08398819
	Action	stop lean	right	(80.60239; 7.970716)	47.65696	0.1003761
	Action	start lean	right	(80.64638; 8.136378)	47.73935	0.08238602
	Action	stop lean	right	(81.14512; 9.070659)	48.20671	0.4673615
	Action	start lean	left	(81.23064; 12.60655)	49.97354	1.766827
	Action	stop lean	left	(81.18613; 12.77276)	50.05752	0.08398438
	Event	passed_obs	obs_bike	(81.13115; 13.50664)	50.40748	0.3499603
	Action	start lean	right	(81.13062; 17.80869)	52.57566	2.168179
	Action	stop lean	right	(81.22146; 18.07656)	52.70953	0.1338654
	Action	start lean	right	(81.2783; 18.34455)	52.84259	0.1330643
