Desktop	1266x712 50Hz
Date	6/25/2014
BalanceBoard	FALSE
StartTime	4:48 PM
EndTime	4:58 PM
Participant Code	1
Session	session_sessio000.ses
Gameplay	Navigation


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	move_obs	obst_courierCart	(57; 56.0012)	98.43755	0
	Event	start	level_1	(57; 56.0012)	100.6523	2.214767
PostOffice	Event	search	target_1	(57; 56.0012)	103.1664	2.514069
PostOffice	Action	forward	speed_1	(57; 56.0012)	144.8372	41.67079
PostOffice	Event	hit_obs	obst_courierCart	(57; 54.14139)	146.3112	1.474014
PostOffice	Action	backward	stop	(57; 51.07806)	148.5354	2.224213
PostOffice	Action	forward	speed_1	(57; 50.82898)	149.1777	0.6423035
PostOffice	Event	passed_obs	obst_courierCart	(57; 50.46304)	149.5636	0.38591
PostOffice	Action	backward	stop	(57; 47.6862)	151.5939	2.030258
PostOffice	Action	forward	speed_1	(57; 47.43888)	158.8693	7.275406
PostOffice	Action	stop	intersection	(57; 46.45395)	159.7446	0.875351
PostOffice	Action	turn	straight	(57; 46.26527)	185.2249	25.48024
PostOffice	Event	move_obs	obst_rolling	(57; 37.57961)	191.5803	6.355453
PostOffice	Action	backward	stop	(57; 36.42606)	192.4364	0.8560333
PostOffice	Action	forward	speed_1	(57; 36.18617)	195.6438	3.207397
PostOffice	Action	start lean	left	(57; 36.18617)	195.674	0.03025818
PostOffice	Action	stop lean	left	(57.35291; 35.59799)	196.2166	0.5426025
PostOffice	Event	hit_obs	obst_rolling	(57.43653; 35.26773)	196.4281	0.2114563
PostOffice	Action	backward	stop	(57.45712; 32.75488)	198.2598	1.831711
PostOffice	Action	forward	speed_1	(57.45712; 32.5102)	303.3593	105.0995
PostOffice	Action	stop	intersection	(57.45712; 29.48015)	305.7002	2.340881
PostOffice	Action	turn	straight	(57.45712; 29.28005)	315.357	9.656799
PostOffice	Event	move_obs	obst_shoppincart	(57.45712; 18.5287)	323.1887	7.831665
PostOffice	Action	backward	stop	(57.45712; 17.99893)	323.6096	0.420929
PostOffice	Action	backward	180	(57.45712; 17.7567)	325.8777	2.268066
PostOffice	Action	backward	180	(57.45712; 17.7543)	331.2811	5.403412
PostOffice	Action	forward	speed_1	(57.45712; 17.7567)	333.9453	2.664276
PostOffice	Action	start lean	left	(57.45712; 17.68584)	334.1118	0.1664734
