Desktop	1280x720 50Hz
Date	7/30/2014
BalanceBoard	FALSE
StartTime	3:56 PM
EndTime	4:00 PM
Participant Code	OVR
Session	scene_definition.xml
Gameplay	ObstacleAvoidance


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(44; 2.9988)	5.458998	0
	Action	forward	speed_1	(44; 2.9988)	35.11634	29.65735
	Action	start lean	right	(44; 3.278893)	35.4255	0.3091583
	Action	stop lean	right	(44.63828; 4.466269)	36.28048	0.8549805
	Action	backward	stop	(44.66625; 4.529821)	36.32536	0.04487991
	Event	hit_ped	PedestrianCollider	(44.71833; 4.693196)	37.50742	1.182053
	Action	forward	speed_1	(44.71833; 4.693198)	41.29071	3.783295
	Action	start lean	right	(44.71833; 4.890547)	41.53856	0.2478523
	Action	stop lean	right	(45.20719; 5.823849)	42.2158	0.6772385
	Action	start lean	left	(45.28629; 7.435814)	43.3686	1.152798
	Action	stop lean	left	(44.86163; 8.276254)	43.96808	0.5994797
	Event	passed_obs	obs_bike	(44.79752; 8.520878)	44.12066	0.1525841
	Action	start lean	left	(44.78333; 9.072247)	44.53798	0.4173164
	Action	stop lean	left	(43.99759; 10.51383)	45.56433	1.026352
	Action	stop	intersection	(43.92508; 12.50083)	46.98224	1.417908
	Action	turn	straight	(43.92508; 12.62274)	49.03488	2.052639
	Event	gem_collected	1	(43.92508; 12.62274)	49.03488	0
	Action	start lean	right	(43.92508; 16.4978)	51.92031	2.885433
	Action	stop lean	right	(45.32135; 18.95275)	53.67434	1.754032
	Action	start lean	left	(45.40054; 22.61838)	56.29082	2.616482
	Event	passed_obs	obs_bike	(44.93674; 23.5163)	56.91104	0.6202126
	Action	stop lean	left	(44.90145; 23.57519)	56.9759	0.0648613
	Action	start lean	right	(44.82927; 23.96241)	57.25039	0.2744904
	Action	stop lean	right	(44.86542; 24.10884)	57.35451	0.1041222
	Action	start lean	right	(44.90163; 24.31367)	57.50139	0.1468773
	Action	stop lean	right	(45.28096; 25.05376)	58.02992	0.5285339
	Action	start lean	left	(45.3466; 25.34754)	58.24033	0.2104111
	Action	stop lean	left	(45.24354; 25.64334)	58.45238	0.2120476
	Action	backward	stop	(45.1797; 26.2869)	58.911	0.4586182
	Action	backward	180	(45.17908; 26.43933)	60.26743	1.356426
	Action	forward	speed_1	(45.17908; 26.44172)	63.22542	2.957996
