Desktop	1280x720 50Hz
Date	7/25/2014
BalanceBoard	TRUE
StartTime	4:05 PM
EndTime	4:11 PM
Participant Code	OVR
Session	scene_definition.xml
Gameplay	ObstacleAvoidance


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(35; 2.9988)	18.55706	0
	Action	forward	speed_1	(35; 2.9988)	26.3258	7.768742
	Action	forward	speed_2	(35; 6.707341)	29.09279	2.766987
	Event	passed_obs	obs_bike	(35; 8.519337)	30.0113	0.9185143
	Action	stop	intersection	(35; 12.5177)	32.03304	2.021732
	Action	turn	straight	(35; 12.71138)	35.55737	3.524338
	Event	gem_collected	1	(35; 12.71138)	35.55737	0
	Action	start lean	left	(35; 16.9466)	37.79485	2.23748
	Action	stop lean	left	(33.47534; 19.67398)	39.15946	1.364609
	Action	start lean	right	(33.36152; 21.64361)	40.14408	0.9846153
	Action	stop lean	right	(33.72349; 22.43244)	40.53645	0.3923721
	Event	passed_obs	obs_bike	(33.83012; 23.51011)	41.05433	0.5178833
	Action	stop	intersection	(33.83069; 27.51021)	43.07561	2.021278
	Action	turn	right	(33.83069; 27.69145)	53.73951	10.6639
	Event	gem_collected	2	(33.83069; 27.69145)	53.73951	0
	Action	start lean	right	(33.83069; 27.69145)	53.76077	0.02125931
	Action	stop lean	right	(37.38081; 27.9772)	55.57483	1.81406
	Action	start lean	left	(40.31547; 28.07)	57.10384	1.529011
	Action	stop lean	left	(42.10295; 29.04543)	57.99552	0.8916779
	Event	passed_obs	obs_bike	(44.52068; 29.14176)	59.18629	1.190777
	Action	stop	intersection	(48.53709; 29.14176)	61.21242	2.026123
	Action	turn	right	(48.70018; 29.14176)	69.60178	8.389359
	Event	gem_collected	2	(48.70018; 29.14176)	69.60178	0
	Action	start lean	right	(48.70018; 29.14176)	69.62152	0.01974487
	Action	stop lean	right	(49.20055; 26.9095)	70.77594	1.154419
	Action	start lean	left	(49.10206; 26.12327)	71.16761	0.3916702
	Action	stop lean	left	(49.53867; 25.22266)	71.61725	0.4496384
	Action	start lean	left	(49.63895; 24.42245)	72.01729	0.4000397
	Event	hit_obs	obs_bike	(50.15527; 23.39798)	72.51032	0.4930344
	Action	stop lean	left	(50.25023; 23.23932)	72.61024	0.09992218
	Action	start lean	left	(50.33694; 22.88162)	72.78765	0.1774063
	Action	stop lean	left	(50.47786; 22.52539)	72.96532	0.1776733
	Action	stop	intersection	(50.56393; 17.49883)	75.47903	2.51371
	Action	turn	right	(50.56393; 17.3336)	78.11911	2.640076
	Event	gem_collected	2	(50.56393; 17.3336)	78.11911	0
	Action	start lean	right	(50.56393; 17.3336)	78.14002	0.02091217
	Action	stop lean	right	(50.39837; 17.14484)	78.32053	0.1805115
	Action	start lean	right	(50.16508; 16.83377)	78.52003	0.1994934
	Action	stop lean	right	(49.82415; 16.66298)	78.7034	0.1833725
	Action	start lean	right	(49.38502; 16.50245)	78.93225	0.2288513
	Action	stop lean	right	(49.29622; 16.49158)	78.97698	0.04473114
	Action	start lean	right	(46.8987; 16.48375)	80.17567	1.198685
	Action	stop lean	right	(45.34135; 16.88825)	80.95772	0.7820511
	Action	start lean	right	(44.8004; 16.92614)	81.22956	0.271843
	Event	passed_obs	obs_bike	(42.47831; 16.89609)	82.37514	1.145584
	Action	stop lean	right	(41.73786; 16.88826)	82.7714	0.3962555
	Action	start lean	left	(40.36346; 16.92994)	83.45728	0.6858749
	Action	stop	intersection	(38.46733; 15.90233)	84.40459	0.947319
	Action	turn	straight	(38.27445; 15.7866)	85.48804	1.083443
	Event	gem_collected	1	(38.27445; 15.7866)	85.48804	0
	Action	stop lean	left	(38.27445; 15.7866)	85.50917	0.02113342
	Action	start lean	left	(36.71433; 15.7866)	86.383	0.8738327
	Action	stop lean	left	(35.19707; 14.98779)	87.1422	0.759201
	Action	start lean	left	(31.04169; 14.87625)	89.21957	2.07737
	Action	stop lean	left	(30.32127; 14.54938)	89.57916	0.3595886
	Action	backward	speed_1	(30.32127; 14.54938)	89.57916	0
	Action	backward	stop	(29.10092; 14.4434)	90.40357	0.8244095
	Action	backward	180	(28.94234; 14.44337)	92.79383	2.390259
	Action	forward	speed_1	(28.93994; 14.44337)	95.45234	2.658508
	Action	forward	speed_2	(29.52066; 14.44337)	95.97142	0.5190811
	Action	stop	intersection	(31.50943; 14.44337)	96.99463	1.023209
	Action	turn	straight	(31.67499; 14.44337)	98.91196	1.917328
	Action	start lean	right	(34.87259; 14.44337)	100.6092	1.697273
	Event	hit_ped	PedestrianCollider	(35.5779; 14.1131)	100.9428	0.3336105
	Action	stop lean	right	(36.17482; 13.75662)	101.2608	0.3180084
	Event	passed_obs	obs_bike	(44.51754; 13.66022)	105.4127	4.151817
	Action	stop	intersection	(48.50543; 13.66022)	107.4259	2.013206
	Action	turn	right	(48.66351; 13.66022)	108.175	0.7491302
	Action	start lean	right	(48.66352; 13.66022)	108.1942	0.0191803
	Action	stop lean	right	(49.41987; 11.58561)	109.2748	1.080597
	Event	hit_obs	obs_bike	(49.41205; 8.34178)	110.8747	1.599907
