Desktop	1280x720 50Hz
Date	7/30/2014
BalanceBoard	FALSE
StartTime	3:43 PM
EndTime	3:50 PM
Participant Code	OVR
Session	scene_definition.xml
Gameplay	ObstacleAvoidance


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(42; 3.9988)	5.523378	0
	Action	forward	speed_1	(42; 3.9988)	20.41451	14.89113
	Action	start lean	right	(42; 5.411778)	21.53925	1.124743
	Action	forward	speed_2	(42.31558; 6.068371)	22.00901	0.4697571
	Action	stop lean	right	(42.82332; 6.916159)	22.46632	0.4573078
	Event	passed_obs	obs_bike	(42.9357; 9.517037)	23.74544	1.279121
	Action	backward	speed_1	(42.9357; 11.83912)	24.92924	1.1838
	Action	backward	stop	(42.9357; 13.10557)	25.78213	0.8528881
	Action	forward	speed_1	(42.9357; 13.26549)	31.66914	5.887012
	Action	stop	intersection	(42.9357; 13.51194)	31.95302	0.2838821
	Action	turn	left	(42.9357; 13.53519)	31.97491	0.02188492
	Event	gem_collected	2	(42.9357; 13.53519)	31.97491	0
	Action	start lean	left	(42.9357; 13.55399)	31.99704	0.02213669
	Action	stop lean	left	(42.54182; 14.04431)	32.43661	0.4395695
	Action	start lean	left	(42.32871; 14.31413)	32.67785	0.2412338
	Action	stop lean	left	(41.73232; 14.55389)	33.09534	0.4174957
	Action	backward	stop	(36.99801; 14.8549)	36.50654	3.411201
	Action	forward	speed_1	(36.84367; 14.8549)	37.42455	0.9180031
	Action	start lean	left	(36.32206; 14.8549)	37.90826	0.4837112
	Action	stop lean	left	(35.43623; 14.39836)	38.54159	0.6333313
	Action	start lean	right	(33.61089; 14.32091)	39.84412	1.302528
	Event	passed_obs	obs_bike	(33.49249; 14.34895)	39.90709	0.06296921
	Action	stop lean	right	(31.50676; 15.5081)	41.3459	1.438812
	Action	stop	intersection	(29.4785; 15.58045)	42.79419	1.448296
	Action	turn	straight	(29.35963; 15.58045)	43.30355	0.5093575
	Event	gem_collected	2	(29.35963; 15.58045)	43.30355	0
	Action	start lean	right	(17.9215; 15.58045)	51.57636	8.272812
	Action	stop lean	right	(17.60099; 15.70884)	51.80423	0.2278671
	Action	start lean	right	(17.27615; 15.76698)	52.03536	0.2311325
	Action	stop lean	right	(16.39015; 16.23519)	52.66941	0.6340523
	Event	passed_obs	obs_bike	(11.49793; 16.30269)	56.1439	3.474487
	Action	stop	intersection	(2.4837; 16.30269)	62.60228	6.458382
	Action	turn	left	(2.359766; 16.30269)	64.03539	1.433102
	Event	gem_collected	1	(2.359766; 16.30269)	64.03539	0
	Action	start lean	left	(2.359766; 16.30269)	64.05274	0.01735687
	Action	stop lean	left	(2.292128; 16.25571)	64.15396	0.1012192
	Action	start lean	left	(1.028988; 13.09001)	66.87868	2.724716
	Action	stop lean	left	(1.888696; 11.54479)	67.98285	1.104172
	Action	forward	speed_2	(1.93; 10.11191)	69.00462	1.021767
	Event	passed_obs	obs_bike	(1.93; 7.499095)	70.32109	1.316475
	Action	backward	speed_1	(1.93; 6.097794)	71.03767	0.7165756
	Action	backward	stop	(1.93; 4.902471)	71.85658	0.8189163
	Action	forward	speed_1	(1.93; 4.779161)	72.43842	0.5818329
	Action	stop	intersection	(1.93; 3.479187)	73.45646	1.018044
	Action	turn	left	(1.93; 3.376181)	74.13954	0.6830826
	Event	gem_collected	5	(1.93; 3.376181)	74.13954	0
	Action	start lean	left	(1.93; 3.376177)	74.15658	0.01703644
	Action	stop lean	left	(1.9287; 3.295295)	74.27274	0.1161575
	Action	backward	stop	(4.378536; 1.970494)	76.53488	2.262146
	Action	backward	180	(4.532304; 1.970494)	77.99335	1.458466
	Event	hit_ped	PedestrianCollider	(4.532973; 1.97157)	78.53741	0.5440674
	Event	hit_ped	PedestrianCollider	(4.534705; 1.970493)	84.04317	5.505753
	Event	hit_ped	PedestrianCollider	(4.534705; 1.970493)	93.53955	9.496384
	Event	hit_ped	PedestrianCollider	(4.534705; 1.970493)	97.35121	3.811661
