Desktop	1366x768 50Hz
Date	4/13/2016
BalanceBoard	FALSE
StartTime	6:16 PM
EndTime	6:21 PM
Participant Code	OVR
Session	scene_definition.xml
Gameplay	ObstacleAvoidance


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(52; 3.9988)	5.512583	0
	Action	forward	speed_1	(52; 3.9988)	19.54779	14.03521
	Action	start lean	right	(52; 4.623325)	20.08079	0.5330029
	Action	stop lean	right	(52.23503; 5.112976)	20.43085	0.3500633
	Action	start lean	right	(52.28283; 5.299477)	20.56481	0.1339569
	Action	stop lean	right	(52.7104; 6.093151)	21.13081	0.5659943
	Action	start lean	right	(52.7697; 6.795225)	21.63262	0.5018177
	Action	stop lean	right	(53.15723; 7.539577)	22.16407	0.5314465
	Action	start lean	right	(53.21656; 8.775999)	23.04804	0.8839664
	Action	stop lean	right	(53.2918; 8.985847)	23.19795	0.1499138
	Action	start lean	right	(53.34336; 10.68982)	24.41409	1.216135
	Action	stop lean	right	(53.56452; 11.15616)	24.74726	0.3331738
	Action	start lean	right	(53.61593; 11.38853)	24.91395	0.1666908
	Action	stop lean	right	(53.84442; 11.85609)	25.24735	0.3333969
	Event	passed_obs	obs_bike	(53.9031; 18.50364)	29.97936	4.732012
	Action	start lean	left	(53.9031; 20.06844)	31.11404	1.134686
	Action	stop lean	left	(53.83997; 20.25469)	31.24726	0.133213
	Action	start lean	left	(53.7937; 20.58232)	31.48034	0.233078
	Action	stop lean	left	(52.74508; 22.42483)	32.79716	1.31683
	Action	start lean	left	(52.68525; 23.77863)	33.76347	0.9663048
	Action	stop lean	left	(52.42284; 24.31421)	34.1468	0.3833351
	Action	start lean	left	(52.36588; 24.68659)	34.41282	0.2660179
	Action	stop lean	left	(52.23775; 24.99031)	34.62964	0.2168198
	Action	start lean	left	(52.18189; 26.975)	36.04747	1.417831
	Action	stop lean	left	(51.77931; 27.74517)	36.59658	0.5491104
	Action	start lean	right	(51.71985; 29.14368)	37.59761	1.001026
	Action	stop lean	right	(51.82016; 29.40155)	37.78049	0.1828842
	Action	start lean	left	(51.86167; 29.5653)	37.89652	0.116024
	Action	stop lean	left	(51.416; 30.42744)	38.51326	0.6167374
	Action	start lean	right	(51.37305; 30.5673)	38.6134	0.1001472
	Action	stop lean	right	(51.56372; 31.01083)	38.93021	0.3168068
