Desktop	1280x720 50Hz
Date	8/5/2014
BalanceBoard	TRUE
StartTime	4:56 PM
EndTime	5:06 PM
Participant Code	OVR
Session	scene_definition.xml
Gameplay	ObstacleAvoidance


Target	Command	Type	Details	XYPos	TimeStamp	DeltaTime
	Event	start	level_1	(56; 3.9988)	18.5788	0
	Action	forward	speed_1	(56; 3.9988)	32.81155	14.23275
	Action	start lean	right	(56; 10.17517)	37.3117	4.500145
	Action	stop lean	right	(57.81615; 13.30167)	39.54462	2.232922
	Event	passed_obs	obs_bike	(57.8759; 18.50565)	43.24495	3.700329
	Action	backward	stop	(57.8759; 19.88193)	44.24408	0.9991341
	Action	forward	speed_1	(57.8759; 20.00417)	54.47828	10.2342
	Action	start lean	right	(57.8759; 20.04059)	54.56137	0.08308792
	Action	stop lean	right	(57.88327; 20.07235)	54.59417	0.03280258
	Action	backward	stop	(57.90389; 21.23415)	55.44437	0.8501968
	Action	backward	180	(57.90389; 21.3576)	61.17857	5.7342
	Action	forward	speed_1	(57.90389; 21.35999)	64.37817	3.1996
	Action	start lean	right	(57.90389; 20.92142)	64.77814	0.3999786
	Action	stop lean	right	(57.84051; 20.73581)	64.91216	0.1340103
	Action	start lean	left	(57.79192; 18.26353)	66.67844	1.766289
	Action	stop lean	left	(57.88855; 17.38245)	67.31139	0.6329498
	Event	passed_obs	obs_bike	(57.92999; 16.49457)	67.92863	0.6172409
	Action	start lean	right	(57.93; 15.14407)	68.91034	0.9817047
	Action	stop lean	right	(57.20534; 13.83634)	69.84335	0.9330063
	Action	forward	speed_2	(57.20534; 13.83634)	69.84335	0
	Action	start lean	right	(57.15501; 13.58302)	69.99313	0.1497879
	Action	stop lean	right	(56.71178; 12.72511)	70.42632	0.4331818
	Action	start lean	right	(56.68268; 12.659)	70.45913	0.03281403
	Action	stop lean	right	(56.37062; 12.09085)	70.74216	0.2830353
	Action	start lean	right	(56.2991; 11.79043)	70.89228	0.150116
	Action	stop lean	right	(55.85178; 10.92514)	71.32613	0.4338531
	Action	start lean	right	(55.76911; 10.3589)	71.60912	0.2829895
	Action	stop lean	right	(55.70868; 10.15864)	71.70926	0.1001358
	Action	stop	intersection	(55.64668; 2.483317)	75.54595	3.836693
	Action	turn	left	(55.64668; 2.337614)	77.78007	2.234116
	Event	gem_collected	1	(55.64668; 2.337614)	77.78007	0
	Action	start lean	left	(55.64668; 2.337614)	77.79617	0.01609802
	Action	stop lean	left	(55.973; 2.015892)	78.06305	0.2668839
	Action	start lean	right	(62.2627; 1.303522)	81.32627	3.263222
	Event	passed_obs	obs_bike	(64.50083; 0.04613373)	82.42826	1.10199
	Action	stop lean	right	(66.36652; -1.073278)	83.37836	0.9500961
	Action	start lean	left	(66.86637; -1.155251)	83.62834	0.2499847
	Action	stop	intersection	(68.5324; -0.2445084)	84.46014	0.8317947
	Action	turn	left	(68.67949; -0.1562564)	86.19305	1.73291
	Event	gem_collected	2	(68.67949; -0.1562564)	86.19305	0
	Action	stop lean	left	(68.68589; -0.1522394)	86.22723	0.03418732
	Action	start lean	left	(69.77762; 0.5180604)	86.94222	0.7149887
	Action	stop lean	left	(69.82336; 0.6834564)	87.02744	0.08521271
	Action	start lean	right	(69.91843; 1.109884)	87.24381	0.2163773
	Action	stop lean	right	(70.53799; 2.234561)	87.81082	0.567009
	Event	passed_obs	obs_bike	(70.62583; 18.50138)	95.92712	8.116302
	Action	start lean	right	(70.62583; 18.56758)	95.97614	0.04901123
	Action	stop lean	right	(72.05995; 21.09933)	97.24297	1.266838
	Action	start lean	right	(72.1454; 22.26713)	97.82613	0.5831528
	Action	stop lean	right	(72.17654; 22.39901)	97.89278	0.06665039
	Action	start lean	right	(72.22443; 23.03316)	98.20992	0.3171387
	Action	stop lean	right	(72.82054; 24.16707)	98.77582	0.5659027
	Action	start lean	right	(72.90366; 24.79924)	99.09283	0.3170166
	Action	stop lean	right	(73.04762; 25.16519)	99.276	0.1831665
	Action	start lean	left	(73.12489; 26.46513)	99.9265	0.6504974
	Action	stop lean	left	(72.25069; 28.06513)	100.726	0.7994766
	Action	start lean	right	(72.16515; 29.16501)	101.276	0.5499802
	Action	stop lean	right	(73.03942; 30.765)	102.076	0.8000412
	Action	start lean	right	(73.12434; 32.09455)	102.7408	0.664772
	Action	stop	intersection	(73.30467; 32.52876)	102.9581	0.2173004
	Action	turn	straight	(73.38795; 32.67523)	103.7909	0.8328094
	Event	gem_collected	2	(73.38795; 32.67523)	103.7909	0
	Action	stop lean	right	(73.38795; 32.67523)	103.8081	0.01721191
	Action	start lean	right	(73.38795; 32.85419)	103.9609	0.1527634
	Action	stop lean	right	(73.40777; 32.94544)	104.0097	0.04886627
	Action	start lean	left	(73.44818; 34.67019)	104.8758	0.8660812
	Action	stop lean	left	(73.15215; 35.30216)	105.1927	0.3169098
	Action	start lean	right	(73.0682; 40.76814)	107.9248	2.732117
	Action	stop lean	right	(73.28707; 41.26872)	108.1747	0.2499161
	Action	start lean	left	(73.35807; 41.59983)	108.3418	0.1670761
	Action	stop lean	left	(72.53324; 43.13408)	109.1089	0.7670746
	Action	start lean	left	(72.44794; 45.66611)	110.3746	1.265739
	Action	stop lean	left	(71.79314; 46.90006)	110.9919	0.6172256
	Action	start lean	right	(71.7078; 48.96754)	112.0249	1.033051
	Action	stop lean	right	(72.00423; 49.60066)	112.3422	0.3172455
	Event	passed_obs	obs_bike	(72.08784; 53.50022)	114.2747	1.932587
	Action	start lean	right	(72.08784; 53.73206)	114.4081	0.1333466
	Action	stop lean	right	(72.5424; 54.63216)	114.8579	0.4498215
	Action	backward	speed_1	(72.62409; 55.16398)	115.1228	0.2649002
	Action	backward	stop	(72.62687; 55.56279)	115.3768	0.2540054
	Action	forward	speed_1	(72.627; 55.69008)	165.7739	50.39706
	Action	start lean	left	(72.627; 55.70224)	165.8237	0.04985046
	Action	stop lean	left	(72.51427; 55.92171)	166.0238	0.200119
	Action	forward	speed_2	(72.45902; 58.43673)	167.8238	1.799973
	Action	start lean	right	(72.45902; 62.98407)	170.1228	2.299011
	Action	stop lean	right	(72.69632; 63.516)	170.3899	0.2671051
	Action	start lean	left	(72.76388; 63.78392)	170.5228	0.1328278
	Action	stop lean	left	(72.48294; 64.41586)	170.84	0.3171997
	Action	stop	intersection	(72.39918; 67.51367)	172.3887	1.548782
	Action	turn	straight	(72.39918; 67.66015)	174.0217	1.632996
	Event	gem_collected	2	(72.39918; 67.66015)	174.0217	0
	Event	passed_obs	obs_bike	(72.39918; 78.51579)	179.5207	5.498932
	Action	stop	intersection	(72.39918; 82.52535)	181.5426	2.021896
	Action	turn	left	(72.39918; 82.67159)	182.3585	0.8158875
	Event	gem_collected	1	(72.39918; 82.67159)	182.3585	0
	Action	start lean	left	(72.39918; 82.6716)	182.3755	0.01708984
	Action	stop lean	left	(71.4757; 83.39041)	182.9565	0.5809021
	Action	start lean	left	(68.39893; 84.01723)	184.5702	1.613785
	Action	stop lean	left	(68.09711; 83.90928)	184.7213	0.1510315
	Action	start lean	right	(67.5289; 83.83882)	185.0032	0.2819214
	Action	stop lean	right	(66.99709; 84.07495)	185.2713	0.2681122
	Event	hit_ped	PedestrianCollider	(66.33295; 84.15607)	185.5863	0.3149719
	Event	hit_obs	obs_bike	(64.36067; 84.15731)	186.5724	0.9861298
	Action	stop	intersection	(58.49483; 84.15731)	189.5211	2.9487
	Action	turn	straight	(58.35026; 84.15731)	203.4038	13.88269
